ก.	kram0	gram;abbr. for กรัม
ก.ค.	ka0ra3ka0da:0Kom0	July;abbr. for กรกฎาคม
ก.ค.	sam4nak3Na:n0Ka0na0kam0ma0ka:n0Ka:2ra:t2Ca0ka:n0Kru:0	Office of the Teacher Civil Service Commission (OTCSC);abbr. for สำนักงานคณะกรรมการข้าราชการครู
ก.ต.	Ka0na0kam0ma0ka:n0tu1la:0ka:n0	Judicial Service Commission;abbr. for คณะกรรมการตุลาการ
ก.พ.	kum0Pa:0Pan0	February;abbr. for กุมภาพันธ์
ก.พ.	sam4nak3Na:n0Ka0na0kam0ma0ka:n0Ka:2ra:t2Ca0ka:n0Pon0la0rW:an0	Office of the Civil Service Commission;abbr. for สำนักงานคณะกรรมการข้าราชการพลเรือน
ก.ม.	kot1ma:j4	law;abbr. for กฎหมาย
ก.ล.ต.	Ka0na0kam0ma0ka:n0kam0kap1lak1sap3lE3ta0la:t1lak1sap3	The Securities and Exchange Commission;abbr. for คณะกรรมการกำกับหลักทรัพย์และตลาดหลักทรัพย์
กก	kok1	base;bottom;kind of sedge;CL: ต้น;to cuddle;to fondle;to embrace;to hug;to hatch;to incubate
กก.	ki0lo:0kram0	kilogram;abbr. for กิโลกรัม
กก.	kam0ma0ka:n0	committee;abbr. for กรรมการ
กกกอด	kok1kO:t1	to hug;to embrace;to cuddle
กกจ.	krom0ka:n0cat1ha:4Na:n0	Department of Employment;abbr. for กรมการจัดหางาน
กกช้าง	kok1Ca:N3	name of plant
กกท.	ka:n0ki:0la:0hEN1pra0Te:t2Taj0	Sports Authority of Thailand (SAT);abbr. for การกีฬาแห่งประเทศไทย
กกธูป	kok1Tu:p2	name of plant
กกุธภัณฑ์	ka0kut1Ta0Pan0	regalia;insignia of kingship;emblems;paraphernalia
กค.	kra0su:aN0ka:n0KlaN0	Ministry of Finance;abbr. for กระทรวงการคลัง
กคช.	ka:n0Ke:0ha1hEN1Ca:t2	National Housing Authority (NHA);abbr. for การเคหะแห่งชาติ
กง	koN0	wheel;CL: กง, วง
กงการ	koN0ka:n0	business;affair;responsibility;duty
กงจักร	koN0cak1	gear wheel;toothed wheel;disk-shape weapon
กงฉาก	koN0Ca:k1	carpenter's steel square;angle brace
กงล้อ	koN0lO:3	wheel
กงสี	koN0si:4	firm;company;family;gathering
กงสุล	koN0sun4	consul
กงสุลใหญ่	koN0sun4jaj1	consul general
กงเกวียน	koN0kwi:an0	wheels of a cart
กงเต๊ก	koN0tek3	ceremony of releasing soul from purgatory;Chinese funeral ritual
กงไฉ่	koN0Caj1	pickled cabbage
กฎ	kot1	law;regulation;rule;principle;axiom;CL: ข้อ
กฎกระทรวง	kot1kra0su:aN0	ministerial regulations;ministerial orders;CL: ข้อ
กฎข้อบังคับ	kot1KO:2baN0Kap3	regulation;principle;discipline;rule;CL: ข้อ
กฎจราจร	kot1ca0ra:0cO:n0	traffic regulations;traffic rules;CL: ข้อ
กฎทบวง	kot1Ta0bu:aN0	ministerial regulations;ministerial orders;CL: ข้อ
กฎธรรมชาติ	kot1Tam0ma0Ca:t2	natural law;law of nature
กฎบังคับ	kot1baN0Kap3	regulation
กฎบัตร	kot1bat1	charter;license;CL: ข้อ
กฎบัตรสหประชาชาติ	kot1bat1sa0ha0pra0Ca:0Ca:t2	Charter of the United Nations;CL: ข้อ
กฎปฏิบัติ	kot1pa0ti1bat1	law
กฎมนเทียรบาล	kot1mon0Ti:an0ba:n0	royal family laws;CL: ข้อ
กฎยุทธวินัย	kot1jut3Ta0wi3naj0	code of military ethics;military regulations;CL: ข้อ
กฎระเบียบ	kot1ra0bi:ap1	set of regulations;rules;discipline;principle;CL: ข้อ
กฎศีลธรรม	kot1si:n4la0Tam0	regulations of morality;CL: ข้อ
กฎหมาย	kot1ma:j4	law;statute;enactment;rule;CL: ข้อ
กฎหมายธรรมนูญ	kot1ma:j4Tam0ma0nu:n0	charter
กฎหมายพาณิชย์	kot1ma:j4Pa:0nit3	commercial law;CL: ข้อ
กฎหมายระหว่างประเทศ	kot1ma:j4ra0wa:N1pra0Te:t2	international law;CL: ฉบับ
กฎหมายอาญา	kot1ma:j4a:0ja:0	criminal law;penal law;CL: ข้อ
กฎหมายแพ่ง	kot1ma:j4PEN2	civil law;CL: ข้อ
กฎหมายแรงงาน	kot1ma:j4rE:N0Na:n0	labour law;CL: ฉบับ
กฎหมู่	kot1mu:1	mob rule;jungle law;majority power
กฎอัยการศึก	kot1aj0ja0ka:n0sWk1	martial law;CL: กฎ
กฎเกณฑ์	kot1ke:n0	regulation;guideline;code of conduct;CL: ข้อ
กฎเบื้องต้น	kot1bW:aN2ton2	first duty
กฎแห่งกรรม	kot1hEN1kam0	reciprocal deeds;law of cause and death;karmic law;law of action
กฏเกณฑ์	kot1ke:n0	criterion
กฐิน	ka0Tin4	Kathin;religious ceremony of presenting robes to the Buddhist monks
กฐินทาน	ka0Tin4Ta:n0	annual robe offered to the monks who dwelled in the monastery
กณิการ์	ka0ni3ka:0	night jasmine
กด	kot1	to press;to push down;to compress;kind of catfish (Ketengus typus);CL: ตัว
กดกริ่ง	kot1kriN1	to ring a bell;to press a button
กดขี่	kot1Ki:1	to oppress;to tyrannize
กดขี่ข่มเหง	kot1Ki:1Kom1he:N4	to bully
กดคอ	kot1KO:0	to compel, to force;to treat cruelly
กดดัน	kot1dan0	to force;to compel;to press
กดตรา	kot1tra:0	to seal
กดน้ำ	kot1na:m3	to push down into the water;to dive;to dip
กดปูด	kot1pu:t1	crow pheasant
กดราคา	kot1ra:0Ka:0	to lower the price
กดหัว	kot1hu:a4	to intimidate
กดออด	kot1O:t1	to ring the bell
กดแตร	kot1trE:0	to honk
กตัญญุตา	ka0tan0ju3ta:0	gratefulness
กตัญญู	ka0tan0ju:0	to be grateful
กตัญญูกตเวที	ka0tan0ju:0ka0ta0we:0Ti:0	to be grateful to someone (and reciprocate with loyalty)
กตัญญูรู้คุณ	ka0tan0ju:0ru:3Kun0	to be grateful to someone (and reciprocate with loyalty);to be a client (in a patron-client relationship)
กติกา	ka0ti1ka:0	treaty;pact;agreement;covenant;convention;CL: ข้อ
กติกาสัญญา	ka0ti1ka:0san4ja:0	treaty;covenant;convention
กตเวทิตา	ka0ta0we:0Ti3ta:0	gratitude;thankfulness;appreciation;gratefulness
กตเวที	ka0ta0we:0Ti:0	grateful;obliged;appreciative;indebted
กถา	ka0Ta:4	words;statement;speech;talk;mention
กถามุข	ka0Ta:4muk3	preface;introduction;foreword
กทท.	ka:n0Ta:2rW:a0hEN1pra0Te:t2Taj0	Port Authority of Thailand (PAT);abbr. for การท่าเรือแห่งประเทศไทย
กทธ.	krom0sap3Pa0ja:0kO:n0TO:0ra0ni:0	Department of Mineral Resources;abbr. for กรมทรัพยากรธรณี
กทพ.	ka:n0Ta:N0Pi3se:t1hEN1pra0Te:t2Taj0	Expressway and Rapid Transit Authority of Thailand (ETA);abbr. for การทางพิเศษแห่งประเทศไทย
กทม.	kruN0Te:p2ma0ha:4na0KO:n0	Bangkok (BKK);abbr. for กรุงเทพมหานคร
กน.	krom0ka:n0Ka:3Pa:j0naj0	Department of Internal Trade;abbr. for กรมการค้าภายใน
กนก	ka0nok1	gold
กนอ.	ka:n0ni3Kom0ut1sa:4ha0kam0hEN1pra0Te:t2Taj0	The Industrial Estate Authority of Thailand;abbr. for การนิคมอุตสาหกรรมแห่งประเทศไทย
กนิษฐา	ka0nit3Ta:4	younger sister;younger brother;CL: องค์
กบ	kop1	frog;CL: ตัว;plane;CL: ตัว;sharpener;overfill;become too full
กบข.	kO:N0Tun0bam0net1bam0na:n0Ka:2ra:t2Ca0ka:n0	Civil Servant's Pension and Retirement Benefit Fund;abbr. for กองทุนบำเหน็จบำนาญข้าราชการ
กบฎ	ka0bot1	rebel;CL: คน, คณะ
กบฏ	ka0bot1	rebel
กบดาน	kop1da:n0	to hide
กบาล	ka0ba:n0	head;skull;CL: หัว
กบิล	ka0bin0	system
กบเหลาดินสอ	kop1law4din0sO:4	sharpener;pencil sharpener;CL: ตัว
กบไสไม้	kop1saj4ma:j3	plane;carpenter's plane;planer;CL: ตัว
กปน.	ka:n0pra0pa:0na0KO:n0lu:aN4	The Metropolitan Waterworks Authority (MWA);abbr. for การประปานครหลวง
กปภ.	ka:n0pra0pa:0su:an1Pu:0mi3Pa:k2	The Provincial Waterworks Authority (PWA);abbr. for การประปาส่วนภูมิภาค
กปร.	sam4nak3Na:n0Ka0na0kam0ma0ka:n0Pi3se:t1PW:a2pra0sa:n4Na:n0Kro:N0ka:n0an0nW:aN2ma:0ca:k1Pra0ra:t2Ca0dam0ri3	Office of the Royal Development Projects Board (ORDPB);abbr. for สำนักงานคณะกรรมการพิเศษเพื่อประสานงานโครงการอันเนื่องมาจากพระราชดำริ
กปส.	krom0pra0Ca:0sam4Pan0	Public Relations Department;abbr. for กรมประชาสัมพันธ์
กพร.	krom0Pat3Ta0na:0fi:4mW:0rE:N0Na:n0	Department of Skill Development;abbr. for กรมพัฒนาฝีมือแรงงาน
กฟน.	ka:n0faj0fa:3na0KO:n0lu:aN4	The Metropolitan Electricity Authority (MEA);abbr. for การไฟฟ้านครหลวง
กฟผ.	ka:n0faj0fa:3fa:j1Pa0lit1hEN1pra0Te:t2Taj0	The Electricity Generating Authority of Thailand (EGAT);abbr. for การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย
กฟภ.	ka:n0faj0fa:3su:an1Pu:0mi3Pa:k2	Provincial Electricity Authority (PEA);abbr. for การไฟฟ้าส่วนภูมิภาค
กม.	ki0lo:0met3	kilometer;abbr. for กิโลเมตร
กมล	ka0mon0	heart;mind;CL: ดวง;lotus;CL: ดอก
กร	kO:n0	hand;arm;CL: กร
กรกฎ	kO:0ra0kot1	crab;Cancer
กรกฎาคม	ka0ra3ka0da:0Kom0	July
กรง	kroN0	baluster;banister;balustrade;bars;railing;enclosure;CL: ซี่;cage;CL: ใบ, ลูก, กรง;jail
กรงขัง	kroN0KaN4	jail;cage
กรงนก	kroN0nok3	birdcage
กรงเล็บ	kroN0lep3	claws;talons;tentacles
กรณฑ์	kron0	square root
กรณิการ์	kra0ni3ka:0	night jasmine
กรณี	kO:0ra0ni:0	case;circumstance;event;incident;CL: กรณี, อย่าง
กรณีจำเป็น	kO:0ra0ni:0cam0pen0	case of necessity;CL: กรณี
